DriverNumber,LapNumber,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,TyreLife,HARD,INTERMEDIATE,MEDIUM,SOFT,WET
44,2.0,28.153000000000002,28.96,28.32,310.0,308.0,305.0,5.0,0,0,0,1,0
44,3.0,28.116000000000003,28.667,28.217000000000002,306.0,306.0,305.0,6.0,0,0,0,1,0
44,4.0,28.089000000000002,28.847,28.215000000000003,305.0,302.0,304.0,7.0,0,0,0,1,0
44,5.0,28.199,28.694000000000003,28.341,304.0,302.0,303.0,8.0,0,0,0,1,0
44,6.0,28.151000000000003,28.466,28.096,310.0,306.0,304.0,9.0,0,0,0,1,0
44,7.0,28.138,28.595000000000002,28.182000000000002,307.0,305.0,305.0,10.0,0,0,0,1,0
44,8.0,28.217000000000002,28.556,28.119000000000003,309.0,307.0,306.0,11.0,0,0,0,1,0
44,10.0,28.274,28.526000000000003,28.057000000000002,311.0,308.0,305.0,13.0,0,0,0,1,0
44,11.0,28.226000000000003,28.589000000000002,28.184,312.0,309.0,304.0,14.0,0,0,0,1,0
44,12.0,28.207,28.520000000000003,28.087000000000003,315.0,310.0,305.0,15.0,0,0,0,1,0
44,13.0,28.214000000000002,28.697000000000003,28.110000000000003,313.0,309.0,305.0,16.0,0,0,0,1,0
44,14.0,28.490000000000002,28.573,28.093000000000004,310.0,308.0,304.0,17.0,0,0,0,1,0
44,15.0,28.234,28.599,28.139000000000003,314.0,309.0,305.0,18.0,0,0,0,1,0
44,16.0,28.155,28.481,28.133000000000003,312.0,310.0,306.0,19.0,0,0,0,1,0
44,17.0,28.216,28.537000000000003,28.135,311.0,309.0,305.0,20.0,0,0,0,1,0
44,18.0,28.201,28.778000000000002,28.062,315.0,312.0,307.0,21.0,0,0,0,1,0
44,23.0,27.554000000000002,29.544,27.826,317.0,319.0,310.0,4.0,0,0,1,0,0
44,24.0,28.12,28.421000000000003,27.717000000000002,308.0,318.0,310.0,5.0,0,0,1,0,0
44,25.0,27.904000000000003,28.313000000000002,28.003,311.0,330.0,313.0,6.0,0,0,1,0,0
44,26.0,27.915000000000003,28.418000000000003,27.582,320.0,312.0,310.0,7.0,0,0,1,0,0
44,27.0,27.895000000000003,28.116000000000003,27.713,314.0,321.0,313.0,8.0,0,0,1,0,0
44,28.0,27.855,28.184,27.795,316.0,322.0,311.0,9.0,0,0,1,0,0
44,30.0,27.816000000000003,28.273000000000003,28.336000000000002,315.0,321.0,309.0,11.0,0,0,1,0,0
44,32.0,27.821,28.108,27.663,312.0,322.0,315.0,13.0,0,0,1,0,0
44,33.0,27.777,28.426000000000002,27.961000000000002,314.0,333.0,313.0,14.0,0,0,1,0,0
44,35.0,27.803,28.237000000000002,27.619000000000003,310.0,320.0,316.0,16.0,0,0,1,0,0
44,36.0,27.496000000000002,28.883000000000003,27.748,312.0,319.0,313.0,17.0,0,0,1,0,0
44,37.0,28.025000000000002,28.313000000000002,27.689,314.0,322.0,313.0,18.0,0,0,1,0,0
44,38.0,27.765,28.068,27.677000000000003,318.0,321.0,316.0,19.0,0,0,1,0,0
44,39.0,27.861,28.175,27.720000000000002,317.0,323.0,313.0,20.0,0,0,1,0,0
44,40.0,27.805000000000003,28.356,27.73,312.0,319.0,312.0,21.0,0,0,1,0,0
44,41.0,27.853,28.07,27.437,318.0,316.0,313.0,22.0,0,0,1,0,0
44,43.0,27.915000000000003,28.26,27.638,314.0,311.0,310.0,24.0,0,0,1,0,0
44,44.0,28.145000000000003,28.161,27.655,316.0,312.0,309.0,25.0,0,0,1,0,0
44,45.0,27.992,27.990000000000002,27.592000000000002,315.0,310.0,309.0,26.0,0,0,1,0,0
44,46.0,28.025000000000002,28.108,27.663,314.0,309.0,307.0,27.0,0,0,1,0,0
44,47.0,28.243000000000002,28.141000000000002,27.741000000000003,310.0,308.0,307.0,28.0,0,0,1,0,0
44,48.0,28.192,28.035,27.874000000000002,313.0,310.0,307.0,29.0,0,0,1,0,0
44,51.0,27.516000000000002,27.236,27.027,313.0,316.0,310.0,4.0,0,0,0,1,0
44,52.0,27.621000000000002,28.388,28.113000000000003,306.0,300.0,304.0,5.0,0,0,0,1,0
44,53.0,28.471,28.748,28.763,298.0,299.0,257.0,6.0,0,0,0,1,0
33,3.0,28.085,28.397000000000002,28.05,302.0,311.0,304.0,2.0,0,0,0,1,0
33,4.0,28.12,28.547,27.995,300.0,310.0,304.0,3.0,0,0,0,1,0
33,5.0,28.011000000000003,28.547,28.021,301.0,311.0,304.0,4.0,0,0,0,1,0
33,6.0,28.075000000000003,28.740000000000002,28.214000000000002,303.0,311.0,305.0,5.0,0,0,0,1,0
33,7.0,28.048000000000002,28.555000000000003,28.195,304.0,313.0,306.0,6.0,0,0,0,1,0
33,8.0,28.231,28.66,28.128,306.0,316.0,307.0,7.0,0,0,0,1,0
33,9.0,28.130000000000003,28.758000000000003,28.187,307.0,318.0,309.0,8.0,0,0,0,1,0
33,10.0,28.121000000000002,29.497000000000003,28.778000000000002,314.0,345.0,309.0,9.0,0,0,0,1,0
33,11.0,28.330000000000002,29.392000000000003,28.561000000000003,315.0,339.0,306.0,10.0,0,0,0,1,0
33,12.0,28.148000000000003,28.653000000000002,28.187,308.0,317.0,308.0,11.0,0,0,0,1,0
33,13.0,28.433000000000003,28.733,28.246000000000002,316.0,319.0,309.0,12.0,0,0,0,1,0
33,14.0,28.201,28.94,28.668000000000003,311.0,327.0,314.0,13.0,0,0,0,1,0
33,15.0,28.197000000000003,28.789,28.14,308.0,318.0,307.0,14.0,0,0,0,1,0
33,16.0,28.135,28.672,28.045,310.0,320.0,309.0,15.0,0,0,0,1,0
33,18.0,27.972,28.903000000000002,28.278000000000002,309.0,321.0,310.0,17.0,0,0,0,1,0
33,19.0,28.548000000000002,28.845000000000002,28.115000000000002,312.0,322.0,313.0,18.0,0,0,0,1,0
33,20.0,28.141000000000002,29.182000000000002,28.674000000000003,315.0,333.0,311.0,19.0,0,0,0,1,0
33,21.0,28.212000000000003,29.494000000000003,28.750000000000004,316.0,338.0,315.0,20.0,0,0,0,1,0
33,22.0,28.063000000000002,29.189,28.327,319.0,319.0,309.0,21.0,0,0,0,1,0
33,23.0,28.288,29.429000000000002,28.475,310.0,325.0,312.0,22.0,0,0,0,1,0
33,24.0,28.478,29.158,28.542,309.0,326.0,309.0,23.0,0,0,0,1,0
33,25.0,28.221,29.117,28.385,310.0,320.0,310.0,24.0,0,0,0,1,0
33,26.0,28.412000000000003,29.245,28.579,308.0,319.0,309.0,25.0,0,0,0,1,0
33,29.0,27.921000000000003,28.608,27.884,312.0,323.0,314.0,3.0,0,0,1,0,0
33,32.0,27.969,28.668000000000003,28.259,324.0,332.0,318.0,6.0,0,0,1,0,0
33,33.0,27.825000000000003,29.146,28.442,317.0,342.0,317.0,7.0,0,0,1,0,0
33,34.0,27.768,28.559,28.12,311.0,330.0,318.0,8.0,0,0,1,0,0
