year,n_gare,driverId_winner,driverRef_winner,constructorID_driver_winner,constructorRef_driver_winner,wins_driver,driver_dob,last_race_date,points_driver,age_driver,age_driver_year,age_driver_days,constructorId_winner,constructorRef,points_constructor,wins_constructor,max_wins_in_season_driver
1950,7,642,farina,51,alfa,3,1906-10-30,1950-09-03,30.0,43.84,43,308,0,,0.0,0,3
1951,8,579,fangio,51,alfa,3,1911-06-24,1951-10-28,31.0,40.35,40,126,0,,0.0,0,3
1952,8,647,ascari,6,ferrari,6,1918-07-13,1952-09-07,36.0,34.16,34,56,0,,0.0,0,6
1953,9,647,ascari,6,ferrari,5,1918-07-13,1953-09-13,34.5,35.17,35,62,0,,0.0,0,5
1954,9,579,fangio,131,mercedes,6,1911-06-24,1954-10-24,42.0,43.34,43,122,0,,0.0,0,6
1955,7,579,fangio,131,mercedes,4,1911-06-24,1955-09-11,40.0,44.22,44,79,0,,0.0,0,4
1956,8,579,fangio,6,ferrari,3,1911-06-24,1956-09-02,30.0,45.19,45,71,0,,0.0,0,3
1956,8,579,fangio,6,ferrari,3,1911-06-24,1956-09-02,30.0,45.19,45,71,0,,0.0,0,3
1957,8,579,fangio,105,maserati,4,1911-06-24,1957-09-08,40.0,46.21,46,76,0,,0.0,0,4
1958,11,578,hawthorn,6,ferrari,1,1929-04-10,1958-10-19,42.0,29.53,29,191,118,vanwall,48.0,6,4
1959,9,356,jack_brabham,170,cooper-climax,2,1926-04-02,1959-12-12,31.0,33.7,33,254,170,cooper-climax,40.0,5,2
1960,10,356,jack_brabham,170,cooper-climax,5,1926-04-02,1960-11-20,43.0,34.64,34,232,170,cooper-climax,48.0,6,5
1961,8,403,phil_hill,6,ferrari,2,1927-04-20,1961-10-08,34.0,34.47,34,171,6,ferrari,45.0,5,2
1962,9,289,hill,66,brm,4,1929-02-15,1962-12-29,42.0,33.87,33,317,66,brm,42.0,4,4
1963,10,373,clark,172,lotus-climax,7,1936-03-04,1963-12-28,54.0,27.82,27,298,172,lotus-climax,54.0,7,7
1964,10,341,surtees,6,ferrari,2,1934-02-11,1964-10-25,40.0,30.7,30,256,6,ferrari,45.0,3,3
1965,10,373,clark,172,lotus-climax,6,1936-03-04,1965-10-24,54.0,29.64,29,233,172,lotus-climax,54.0,6,6
1966,9,356,jack_brabham,191,brabham-repco,4,1926-04-02,1966-10-23,42.0,40.56,40,204,191,brabham-repco,42.0,4,4
1967,11,304,hulme,191,brabham-repco,2,1936-06-18,1967-10-22,51.0,31.34,31,125,191,brabham-repco,63.0,4,4
1968,12,289,hill,180,lotus-ford,3,1929-02-15,1968-11-03,48.0,39.72,39,261,180,lotus-ford,62.0,5,3
1969,11,328,stewart,196,matra-ford,6,1939-06-11,1969-10-19,63.0,30.36,30,130,196,matra-ford,66.0,6,6
1970,13,358,rindt,180,lotus-ford,5,1942-04-18,1970-10-25,45.0,28.52,28,190,32,team_lotus,59.0,6,5
1971,11,328,stewart,25,tyrrell,6,1939-06-11,1971-10-03,62.0,32.31,32,114,25,tyrrell,73.0,7,6
1972,12,224,emerson_fittipaldi,32,team_lotus,5,1946-12-12,1972-10-08,61.0,25.82,25,300,32,team_lotus,61.0,5,5
1973,15,328,stewart,25,tyrrell,5,1939-06-11,1973-10-07,71.0,34.33,34,118,32,team_lotus,92.0,7,5
1974,15,224,emerson_fittipaldi,1,mclaren,3,1946-12-12,1974-10-06,55.0,27.82,27,298,1,mclaren,73.0,4,3
1975,14,182,lauda,6,ferrari,5,1949-02-22,1975-10-05,64.5,26.62,26,224,6,ferrari,72.5,6,5
1976,16,231,hunt,1,mclaren,6,1947-08-29,1976-10-24,69.0,29.16,29,56,6,ferrari,83.0,6,6
1977,17,182,lauda,6,ferrari,3,1949-02-22,1977-10-23,72.0,28.67,28,243,6,ferrari,95.0,4,4
1978,16,207,mario_andretti,32,team_lotus,6,1940-02-28,1978-10-08,64.0,38.61,38,222,32,team_lotus,86.0,8,6
1979,15,222,scheckter,6,ferrari,3,1950-01-29,1979-10-07,51.0,29.69,29,250,6,ferrari,113.0,6,4
1980,14,178,jones,3,williams,5,1946-11-02,1980-10-05,67.0,33.93,33,338,3,williams,120.0,6,5
1981,15,137,piquet,34,brabham,3,1952-08-17,1981-10-17,50.0,29.17,29,60,3,williams,95.0,4,3
1982,16,177,keke_rosberg,3,williams,1,1948-12-06,1982-09-25,44.0,33.8,33,293,6,ferrari,74.0,3,2
1983,15,137,piquet,34,brabham,3,1952-08-17,1983-10-15,59.0,31.16,31,58,6,ferrari,89.0,4,4
1984,16,182,lauda,1,mclaren,5,1949-02-22,1984-10-21,72.0,35.66,35,241,1,mclaren,143.5,12,7
1985,16,117,prost,1,mclaren,5,1955-02-24,1985-11-03,73.0,30.69,30,252,1,mclaren,90.0,6,5
1986,16,117,prost,1,mclaren,4,1955-02-24,1986-10-26,72.0,31.67,31,244,3,williams,141.0,9,5
1987,16,137,piquet,3,williams,3,1952-08-17,1987-11-15,73.0,35.25,35,89,3,williams,137.0,9,6
1988,16,102,senna,1,mclaren,8,1960-03-21,1988-11-13,90.0,28.65,28,237,1,mclaren,199.0,15,8
